"sexo","idade","nascimento","time","republica","computador_pessoal","tempo_redes","enem","ingresso","reprovacao","satisfacao_curso","expectativa_econometria","carreira","pos_graduacao"
"0","22","1","1","1","1","4","666","2018","9","3","3","1","1"
"0","21","0","2","1","1","3","585","2020","0","2","1","2","2"
"0","25","1","1","0","1","1.5","666","2018","1","1","2","3","2"
"0","20","1","1","1","1","3","690","2020","0","2","1","1","2"
"0","21","1","1","1","1","2","650","2020","0","2","2","3","2"
"0","34","1","1","1","1","2","644.62","2020","0","2","2","1","2"
"1","20","0","3","1","1","2","675","2020","4","3","2","3","2"
"0","24","0","3","0","1","1","630","2018","4","2","2","4","1"
"0","20","0","4","0","1","3","663","2020","0","2","2","2","1"
"1","23","0","4","0","1","3","600","2020","2","2","2","2","2"
"0","20","0","3","0","1","3","660","2020","1","2","2","1","2"
"0","23","1","1","0","1","3","688","2020","0","2","2","1","3"
"0","27","0","3","0","1","3","640","2018","2","2","2","2","1"
"0","20","1","4","0","1","4","656","2020","0","2","3","2","2"
"1","20","1","4","0","1","3","780","2020","0","2","1","2","2"
"1","21","1","4","1","1","4","670","2020","2","2","2","2","3"
"0","20","0","3","0","1","8","664.34","2020","1","2","1","2","2"
"1","19","1","1","1","1","3","750","2020","0","2","1","1","2"
"1","22","0","4","0","1","9","506.65","2020","0","2","2","1","3"
"1","29","0","1","0","1","4","618","2018","4","2","2","4","1"
"0","20","1","4","1","1","3","800","2020","0","1","2","3","3"
"0","20","0","3","0","1","3","682","2020","0","1","1","3","2"
"1","28","0","2","0","1","2","647","2020","0","2","3","4","2"
"0","26","0","3","0","1","1","830","2017","5","1","1","4","2"
"1","22","1","3","0","1","3","685","2020","1","2","2","3","1"
"0","21","0","1","1","1","4","670","2018","1","1","1","3","3"
"0","25","0","3","0","1","2","670","2019","2","2","1","5","2"
"1","27","0","2","0","0","1.5","650","2021","0","3","2","5","2"
"0","41","0","1","0","0","2","653","2017","0","3","3","1","3"
"0","21","1","1","1","1","1","648","2018","3","2","3","1","2"
"1","29","0","1","0","1","2","650","2019","2","4","2","2","1"
"1","32","0","4","0","1","1","700","2017","23","1","3","3","2"
"0","38","0","1","1","1","2","653.31","2018","0","3","2","3","2"
